ID;TenLoai;UpdateDate;MaGiaoXuRieng
0;Quản trị viên;2018/10/25 08:39:19;1221
1;Người nhập 1;2018/10/25 08:39:19;1221
2;Người nhập 2;2018/10/25 08:39:19;1221
