MaDotBiTich;MaGiaoDan;GhiChu;UpdateDate;MaGiaoXuRieng;DeleteClient
1;2;;2018/10//30 21:46:17;1221;1
2;2;;2018/10//30 21:46:17;1221;1
3;2;;2018/10//30 21:46:17;1221;1
4;2;;2018/10//30 21:46:17;1221;1
5;2;;2018/10//30 21:46:17;1221;1
6;2;;2018/10//30 21:46:17;1221;1
7;2;;2018/10//30 21:46:17;1221;1
8;2;;2018/10//30 21:46:17;1221;1
9;2;;2018/10//30 21:46:17;1221;1
10;2;;2018/10//30 21:46:17;1221;1
11;2;;2018/10//30 21:46:17;1221;1
12;2;;2018/10//30 21:46:17;1221;1
13;2;;2018/10//30 21:46:17;1221;1
14;2;;2018/10//30 21:46:17;1221;1
15;2;;2018/10//30 21:46:17;1221;1
16;2;;2018/10//30 21:46:17;1221;1
17;2;;2018/10//30 21:46:17;1221;1
18;2;;2018/10//30 21:46:17;1221;1
19;2;;2018/10//30 21:46:17;1221;1
21;2;;2018/10//30 21:46:17;1221;1
22;2;;2018/10//30 21:46:17;1221;1
23;2;;2018/10//30 21:46:17;1221;1
