ID;Value;UpdateDate;MaGiaoXuRieng;DeleteClient
0;TenChong;2018/10/29 11:17:16;1221;0
1;TenVo;2018/10/29 11:17:16;1221;0
2;ConCai;2018/10/29 11:17:16;1221;0
