ID;TenLoai;UpdateDate;MaGiaoXuRieng;DeleteClient
0;Quản trị viên;2018/10/29 14:03:12;1221;0
1;Người nhập 1;2018/10/29 14:03:12;1221;0
2;Người nhập 2;2018/10/29 14:03:12;1221;0
