ID;TenLoai;UpdateDate;MaGiaoXuRieng
0;Quản trị viên;2018/09/24 06:56:42;1221
1;Người nhập 1;2018/09/24 06:56:42;1221
2;Người nhập 2;2018/09/24 06:56:42;1221
