ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;MaGiaoXuRieng;UpdateDate;DeleteClient
119;1;Luca Loan;Luca Loan;;;;0
120;1;Norbertô;Norbertô;;;;0
121;1;Phêrô Dũng;Phêrô Dũng;;;;0
122;1;Phêrô Thuần;Phêrô Thuần;;;;0
123;1;Vinhsơn Dương;Vinhsơn Dương;;;;0
124;1;Ephrem;Ephrem;;;;0
125;1;Barnaba;Barnaba;;;;0
126;1;Augustinô Huy;Augustinô Huy;;;;0
127;1;Nicola Thể;Nicola Thể;;;;0
128;1;Maria;Maria;;;;0
129;1;Antôn;Antôn;;;;0
130;1;Anrê Tường;Anrê Tường;;;;0
131;1;Đaminh Mạo;Đaminh Mạo;;;;0
132;1;Đaminh Nguyên;Đaminh Nguyên;;;;0
133;1;Đaminh Nhi;Đaminh Nhi;;;;0
134;1;Vinhsơn Tường;Vinhsơn Tường;;;;0
135;1;Phêrô Đa;Phêrô Đa;;;;0
136;1;Rômualđô;Rômualđô;;;;0
137;1;Luy Gonzaga;Luy Gonzaga;;;;0
138;1;Paulinô;Paulinô;;;;0
139;1;Tôma More;Tôma More;;;;0
140;1;Gioan Fisher;Gioan Fisher;;;;0
141;1;Gioan Bt.;Gioan Bt.;;;;0
142;1;Đaminh Xuân;Đaminh Xuân;;;;0
143;1;Phanxicô Chiểu;Phanxicô Chiểu;;;;0
144;1;Cyrillô;Cyrillô;;;;0
145;1;Tôma Toán;Tôma Toán;;;;0
146;1;Irênê;Irênê;;;;0
147;1;Phêrô;Phêrô;;;;0
148;1;Phaolô;Phaolô;;;;0
149;1;Vinhsơn Yến;Vinhsơn Yến;;;;0
150;1;Junipero Serra;Junipero Serra;;;;0
151;1;Tôma;Tôma;;;;0
152;1;Philipphê Minh;Philipphê Minh;;;;0
153;1;Êlisabeth;Êlisabeth;;;;0
154;1;Giuse Uyển;Giuse Uyển;;;;0
155;1;Antôn;Antôn;;;;0
156;1;Maria Goretti;Maria Goretti;;;;0
157;1;Antôn Quỳnh;Antôn Quỳnh;;;;0
158;1;Phêrô Khắc Tự;Phêrô Khắc Tự;;;;0
159;1;Bênêđictô;Bênêđictô;;;;0
160;1;Clêmentê Inhaxiô Hy;Clêmentê Inhaxiô Hy;;;;0
161;1;Inê Thành;Inê Thành;;;;0
162;1;Phêrô Khanh;Phêrô Khanh;;;;0
163;1;Henricô;Henricô;;;;0
164;1;Camillô Lellis;Camillô Lellis;;;;0
165;1;Kateri Tekakwitha;Kateri Tekakwitha;;;;0
166;1;Bônaventura;Bônaventura;;;;0
167;1;Anrê Thông;Anrê Thông;;;;0
168;1;Phêrô Tuần;Phêrô Tuần;;;;0
169;1;Maria;Maria;;;;0
170;1;Đaminh Đạt;Đaminh Đạt;;;;0
171;1;Giuse An;Giuse An;;;;0
172;1;Laurensô;Laurensô;;;;0
173;1;Maria Mađalêna;Maria Mađalêna;;;;0
174;1;Brigitta;Brigitta;;;;0
175;1;Sarbêliô Makhluf;Sarbêliô Makhluf;;;;0
176;1;Giuse Hiền;Giuse Hiền;;;;0
177;1;Giacôbê;Giacôbê;;;;0
178;1;Gioakim;Gioakim;;;;0
179;1;Anna;Anna;;;;0
180;1;Anrê Phú Yên;Anrê Phú Yên;;;;0
181;1;Melchor Xuyên;Melchor Xuyên;;;;0
182;1;Martha;Martha;;;;0
183;1;Phêrô;Phêrô;;;;0
184;1;Ignatiô;Ignatiô;;;;0
185;1;Emmanuel Phụng;Emmanuel Phụng;;;;0
186;1;Phêrô Quý;Phêrô Quý;;;;0
187;1;Alphongsô;Alphongsô;;;;0
188;1;Bênađô Duệ;Bênađô Duệ;;;;0
189;1;Đaminh Hạnh;Đaminh Hạnh;;;;0
190;1;Eusêbiô;Eusêbiô;;;;0
191;1;Eymard;Eymard;;;;0
192;1;Vianney;Vianney;;;;0
193;1;Maria;Maria;;;;0
194;1;Xystô II;Xystô II;;;;0
195;1;Gajêtanô;Gajêtanô;;;;0
196;1;Đaminh;Đaminh;;;;0
197;1;Têrêsa Bênêđicta;Têrêsa Bênêđicta;;;;0
198;1;Laurensô;Laurensô;;;;0
199;1;Clara;Clara;;;;0
200;1;Joanna;Joanna;;;;0
201;1;Antôn Đích;Antôn Đích;;;;0
202;1;Giacôbê Năm;Giacôbê Năm;;;;0
203;1;Micae Mỹ;Micae Mỹ;;;;0
204;1;Pontianô;Pontianô;;;;0
205;1;Hippôlytô;Hippôlytô;;;;0
206;1;Maximilianô Kolbê;Maximilianô Kolbê;;;;0
207;1;Maria;Maria;;;;0
208;1;Stêphanô;Stêphanô;;;;0
209;1;Gioan Êuđê;Gioan Êuđê;;;;0
210;1;Bernarđô;Bernarđô;;;;0
211;1;Piô X;Piô X;;;;0
212;1;Giuse Viên;Giuse Viên;;;;0
213;1;Maria;Maria;;;;0
214;1;Rosa Lima;Rosa Lima;;;;0
215;1;Barthôlômêô;Barthôlômêô;;;;0
216;1;Giuse Calasanz;Giuse Calasanz;;;;0
217;1;Luy;Luy;;;;0
218;1;Monica;Monica;;;;0
219;1;Augustinô;Augustinô;;;;0
220;1;Gioan Bt.;Gioan Bt.;;;;0
221;1;Grêgôriô;Grêgôriô;;;;0
222;1;Giuse cảnh;Giuse cảnh;;;;0
223;1;Phêrô Văn Tự;Phêrô Văn Tự;;;;0
224;1;Maria;Maria;;;;0
225;1;Phêrô Claver;Phêrô Claver;;;;0
226;1;Gioan;Gioan;;;;0
227;1;Maria;Maria;;;;0
228;1;Conêliô;Conêliô;;;;0
229;1;Cyprianô;Cyprianô;;;;0
230;1;Robertô;Robertô;;;;0
231;1;Emmanuel Triệu;Emmanuel Triệu;;;;0
232;1;Đaminh Trạch;Đaminh Trạch;;;;0
233;1;Januariô;Januariô;;;;0
234;1;Anrê Kim Têgon;Anrê Kim Têgon;;;;0
235;1;Phaolô Chung Hasang;Phaolô Chung Hasang;;;;0
236;1;Mátthêu;Mátthêu;;;;0
237;1;Phanxicô Phan;Phanxicô Phan;;;;0
238;1;Tôma Thiện;Tôma Thiện;;;;0
239;1;Piô;Piô;;;;0
240;1;Cosma;Cosma;;;;0
241;1;Đamianô;Đamianô;;;;0
242;1;Vinhsơn Phaolô;Vinhsơn Phaolô;;;;0
243;1;Venceslaô;Venceslaô;;;;0
244;1;Laurensô Ruiz;Laurensô Ruiz;;;;0
245;1;Micae;Micae;;;;0
246;1;Gabriel;Gabriel;;;;0
247;1;Raphael;Raphael;;;;0
248;1;Giêrômiô;Giêrômiô;;;;0
249;1;Têrêxa;Têrêxa;;;;0
