MaGiaoDan;MaHonPhoi;SoThuTu;MaGiaoXuRieng;UpdateDate;DeleteClient
1342;996;1;;;0
1341;996;1;;;0
2006;479;1;;;0
2005;479;1;;;0
4192;1144;1;;;0
4154;1144;1;;;0
1332;317;1;;;0
1331;317;1;;;0
1890;448;1;;;0
1889;448;1;;;0
1223;287;1;;;0
1222;287;1;;;0
3872;1022;1;;;0
21;1022;1;;;0
2232;540;1;;;0
2231;540;1;;;0
3518;938;2;;;0
1328;938;1;;;0
4239;1159;1;;;0
2874;700;1;;;0
2873;700;1;;;0
3236;802;1;;;0
3235;802;1;;;0
2221;535;1;;;0
2220;535;1;;;0
2043;489;1;;;0
2042;489;1;;;0
771;975;1;;;0
3776;975;1;;;0
632;148;1;;;0
631;148;1;;;0
2536;621;1;;;0
2535;621;1;;;0
636;149;1;;;0
635;149;1;;;0
2562;626;1;;;0
2561;626;1;;;0
4047;1092;1;;;0
4046;1092;1;;;0
2169;520;1;;;0
2168;520;1;;;0
1711;406;1;;;0
1710;406;1;;;0
586;137;1;;;0
585;137;1;;;0
482;113;1;;;0
481;113;1;;;0
1258;296;1;;;0
1257;296;1;;;0
4122;1116;1;;;0
4121;1116;1;;;0
3326;454;1;;;0
1909;454;1;;;0
3177;784;1;;;0
3176;784;1;;;0
1386;334;1;;;0
1385;334;1;;;0
1988;474;1;;;0
1987;474;1;;;0
1557;371;1;;;0
1556;371;1;;;0
1337;319;1;;;0
1336;319;1;;;0
3405;988;1;;;0
598;988;1;;;0
3253;991;1;;;0
616;991;1;;;0
4350;1182;1;;;0
3733;1182;1;;;0
2640;644;1;;;0
2639;644;1;;;0
1639;388;1;;;0
1638;388;1;;;0
4360;1186;1;;;0
4361;1186;1;;;0
4359;1185;1;;;0
4358;1185;1;;;0
1240;292;1;;;0
1239;292;1;;;0
4377;1197;1;;;0
4376;1197;1;;;0
4375;1195;1;;;0
2776;1195;1;;;0
3288;817;1;;;0
3287;817;1;;;0
2984;731;1;;;0
2983;731;1;;;0
1187;275;1;;;0
1185;275;1;;;0
4405;1206;1;;;0
4403;1206;1;;;0
89;21;1;;;0
88;21;1;;;0
979;228;1;;;0
978;228;1;;;0
1626;385;1;;;0
1625;385;1;;;0
1764;419;1;;;0
1763;419;1;;;0
784;184;1;;;0
783;184;1;;;0
798;188;1;;;0
797;188;1;;;0
905;212;1;;;0
904;212;1;;;0
1447;348;1;;;0
1446;348;1;;;0
2601;1175;1;;;0
4292;1175;1;;;0
1846;439;1;;;0
1845;439;1;;;0
1090;253;1;;;0
1089;253;1;;;0
3932;1050;1;;;0
1739;1050;1;;;0
1349;323;1;;;0
1348;323;1;;;0
3367;864;1;;;0
3484;864;1;;;0
4331;1180;1;;;0
4330;1180;1;;;0
863;202;1;;;0
862;202;1;;;0
2379;582;1;;;0
2378;582;1;;;0
4520;1230;1;;;0
3908;1230;1;;;0
1954;466;1;;;0
1953;466;1;;;0
4530;1232;1;;;0
330;1232;1;;;0
4407;1207;1;;;0
528;1207;1;;;0
4428;1213;1;;;0
4427;1213;1;;;0
4531;1234;1;;;0
2063;1234;1;;;0
4533;1236;1;;;0
1099;1236;1;;;0
1269;299;1;;;0
1268;299;1;;;0
1394;1187;1;;;0
1866;1187;1;;;0
2036;487;;;;0
2037;487;;;;0
350;80;;;;0
351;80;;;;0
2001;478;;;;0
2002;478;;;;0
1377;331;1;;;0
1376;331;1;;;0
4571;1248;1;;;0
737;1248;1;;;0
4572;1249;1;;;0
1740;1249;1;;;0
700;165;1;;;0
699;165;1;;;0
552;128;1;;;0
551;128;1;;;0
3650;989;1;;;0
1591;989;1;;;0
1834;435;1;;;0
1833;435;1;;;0
751;176;1;;;0
750;176;1;;;0
2975;727;1;;;0
2974;727;1;;;0
2811;681;1;;;0
2810;681;1;;;0
2357;575;1;;;0
2356;575;1;;;0
4605;1260;1;;;0
2062;1260;1;;;0
3427;849;1;;;0
3426;849;1;;;0
922;216;1;;;0
921;216;1;;;0
3516;870;1;;;0
3515;870;1;;;0
377;87;1;;;0
376;87;1;;;0
509;119;1;;;0
508;119;1;;;0
525;123;1;;;0
524;123;1;;;0
646;151;1;;;0
645;151;1;;;0
1335;318;1;;;0
1334;318;1;;;0
1356;326;1;;;0
1355;326;1;;;0
3431;850;1;;;0
3430;850;1;;;0
1827;433;1;;;0
1826;433;1;;;0
2093;500;1;;;0
2092;500;1;;;0
2155;516;1;;;0
2154;516;1;;;0
2956;722;1;;;0
2955;722;1;;;0
3012;740;1;;;0
3011;740;1;;;0
3018;742;1;;;0
3017;742;1;;;0
3091;762;1;;;0
3090;762;1;;;0
647;951;1;;;0
3348;951;1;;;0
3181;786;1;;;0
3180;786;1;;;0
3191;789;1;;;0
3190;789;1;;;0
3213;799;1;;;0
3212;799;1;;;0
3536;933;2;;;0
336;933;1;;;0
3647;943;1;;;0
1621;943;1;;;0
3829;1008;1;;;0
3828;1008;1;;;0
4070;1102;1;;;0
4069;1102;1;;;0
117;27;1;;;0
116;27;1;;;0
214;47;1;;;0
213;47;1;;;0
577;135;1;;;0
576;135;1;;;0
660;155;1;;;0
659;155;1;;;0
829;195;1;;;0
828;195;1;;;0
952;223;1;;;0
951;223;1;;;0
1011;235;1;;;0
1010;235;1;;;0
1135;263;1;;;0
1134;263;1;;;0
1203;282;1;;;0
1202;282;1;;;0
1234;290;1;;;0
1233;290;1;;;0
1322;314;1;;;0
1321;314;1;;;0
1440;346;1;;;0
1439;346;1;;;0
1501;358;1;;;0
1500;358;1;;;0
1813;430;1;;;0
1812;430;1;;;0
1892;449;1;;;0
1891;449;1;;;0
1984;473;1;;;0
1983;473;1;;;0
2057;492;1;;;0
2056;492;1;;;0
2402;588;1;;;0
2401;588;1;;;0
2630;642;1;;;0
2629;642;1;;;0
2648;646;1;;;0
2647;646;1;;;0
4245;1161;1;;;0
4244;1161;1;;;0
3521;874;1;;;0
2078;874;1;;;0
2935;716;1;;;0
2934;716;1;;;0
3057;753;1;;;0
